device id,device type,user social score,latitude,longitude,timestamp,data integrity score,authenticity score,anomaly score,twin sync latency ms,battery level pct,network strength db,encryption enabled,firmware version,vulnerability count,suspicious interactions count,fused confidence,risk score,risk level,recommended action,device id,device type,user social score,latitude,longitude,timestamp
dev_100013,smartphone,0.651,16.305586,77.152656,20:58.5,0.772,0.64,0.376,23,34,-76.7,FALSE,3.0.3,2,1,0.889,0.287,Low,Normal monitoring; periodic audit,dev_100013,smartphone,107.8714033,146.1222313,184.3730593,20:58.5
dev_100014,camera,0.602,23.858275,77.163396,48:58.5,0.839,0.32,0.248,169,80,-70.1,TRUE,1.1.1,1,1,0.642,0.265,Low,Normal monitoring; periodic audit,dev_100014,camera,110.435953,148.716651,186.997349,48:58.5
dev_100015,router,0.71,16.604927,74.803968,44:13.5,0.768,0.606,0.318,144,100,-61.4,TRUE,3.0.5,1,1,0.731,0.259,Low,Normal monitoring; periodic audit,dev_100015,router,104.8002663,141.8472503,178.8942343,44:13.5
dev_100016,vehicle,0.829,21.427388,83.584625,56:46.5,0.838,0.724,0.366,236,88,-48.5,TRUE,1.1.4,1,0,0.658,0.232,Low,Normal monitoring; periodic audit,dev_100016,vehicle,118.0359627,159.4137752,200.7915877,56:46.5
dev_100017,camera,0.994,18.367512,75.844112,54:08.5,0.783,0.648,0.671,179,100,-63,FALSE,2.1.2,0,0,0.734,0.34,Low,Normal monitoring; periodic audit,dev_100017,camera,106.58532,144.010376,181.435432,54:08.5
dev_100018,wearable,0.812,25.466461,75.467069,48:48.5,0.71,0.797,0.346,10,78,-59.4,TRUE,1.1.7,0,1,0.935,0.227,Low,Normal monitoring; periodic audit,dev_100018,wearable,108.5702457,145.8977802,183.2253147,48:48.5
dev_100019,sensor,0.621,24.115515,79.481968,54:53.5,0.93,0.418,0.698,98,82,-55,TRUE,1.1.5,3,2,0.759,0.44,Medium,Schedule patch; Enable additional logging; User notification,dev_100019,sensor,113.6004623,153.0309463,192.4614303,54:53.5
dev_100020,smartphone,0.669,20.519881,77.250416,05:17.5,0.678,0.575,0.432,5,60,-69.4,TRUE,1.1.0,0,2,0.476,0.313,Low,Normal monitoring; periodic audit,dev_100020,smartphone,109.394515,147.685223,185.975931,05:17.5
dev_100021,appliance,0.58,23.655713,81.445497,53:40.5,0.759,0.141,0.2,42,66,-54.8,TRUE,1.2.1,0,0,0.455,0.249,Low,Normal monitoring; periodic audit,dev_100021,appliance,116.092567,156.5253155,196.958064,53:40.5
dev_100022,vehicle,0.484,16.791321,82.868173,25:33.5,0.62,0.618,0.38,33,88,-69.7,TRUE,1.1.7,0,0,0.765,0.268,Low,Normal monitoring; periodic audit,dev_100022,vehicle,115.7653377,156.9574242,198.1495107,25:33.5
dev_100023,router,0.483,17.45937,76.813852,52:06.5,0.681,0.625,0.213,162,70,-49.6,TRUE,1.1.4,1,0,0.944,0.221,Low,Normal monitoring; periodic audit,dev_100023,router,107.9162593,146.0816853,184.2471113,52:06.5
dev_100024,sensor,0.65,18.017797,75.111268,41:09.5,0.605,0.739,0.293,162,100,-94.7,TRUE,2.1.4,3,2,0.654,0.318,Low,Normal monitoring; periodic audit,dev_100024,sensor,105.7209563,142.9515903,180.1822243,41:09.5
dev_100025,appliance,0.616,21.338431,82.381188,40:32.5,0.796,0.583,0.417,65,9,-59.5,TRUE,2.1.6,0,1,0.649,0.269,Low,Normal monitoring; periodic audit,dev_100025,appliance,116.5437277,157.4263217,198.3089157,40:32.5
dev_100026,thermostat,0.761,21.83608,75.13188,43:06.5,0.863,0.476,0.357,125,53,-65.2,TRUE,2.1.7,1,1,0.79,0.273,Low,Normal monitoring; periodic audit,dev_100026,thermostat,106.9472,144.13264,181.31808,43:06.5
dev_100027,smartphone,0.832,17.092874,76.255414,03:40.5,0.475,0.903,0.15,142,36,-45.5,TRUE,1.0.2,3,2,0.766,0.269,Low,Normal monitoring; periodic audit,dev_100027,smartphone,106.8168433,144.5285503,182.2402573,03:40.5
dev_100028,appliance,0.939,19.835007,81.327342,47:01.5,0.923,0.664,0.427,188,6,-72.3,TRUE,2.1.1,2,1,0.825,0.279,Low,Normal monitoring; periodic audit,dev_100028,appliance,114.422125,154.616296,194.810467,47:01.5
dev_100029,router,0.599,19.782954,83.111359,57:46.5,0.779,0.851,0.311,135,61,-75.7,TRUE,2.1.4,1,0,0.684,0.201,Low,Normal monitoring; periodic audit,dev_100029,router,117.01013,158.2663095,199.522489,57:46.5
dev_100030,smartphone,0.554,20.837603,78.370527,35:19.5,0.874,0.875,0.172,63,46,-69,TRUE,3.0.1,1,0,0.734,0.126,Low,Normal monitoring; periodic audit,dev_100030,smartphone,111.0705703,149.9788338,188.8870973,35:19.5
dev_100031,sensor,0.746,24.150665,82.265099,00:41.5,0.753,0.875,0.635,4,80,-82.8,TRUE,1.2.5,1,2,0.961,0.343,Low,Normal monitoring; periodic audit,dev_100031,sensor,117.239687,157.9992365,198.758786,00:41.5
dev_100032,appliance,0.593,24.539222,81.961453,11:35.5,0.781,0.401,0.247,10,78,-49.9,FALSE,1.1.7,7,0,0.836,0.352,Medium,Schedule patch; Enable additional logging; User notification,dev_100032,appliance,117.0663447,157.7505712,198.4347977,11:35.5
dev_100033,sensor,0.646,21.598869,80.613267,18:24.5,0.967,0.415,0.135,227,42,-64.3,TRUE,1.1.8,3,0,0.54,0.209,Low,Normal monitoring; periodic audit,dev_100033,sensor,114.2533123,154.2369458,194.2205793,18:24.5
dev_100034,smart_speaker,0.709,16.107958,78.926562,45:58.5,0.626,0.42,0.243,169,25,-77.3,FALSE,3.0.8,0,2,0.72,0.289,Low,Normal monitoring; periodic audit,dev_100034,smart_speaker,110.1320687,149.2408497,188.3496307,45:58.5
dev_100035,thermostat,0.792,22.915949,82.028511,21:48.5,0.811,0.629,0.234,116,82,-69.7,TRUE,1.2.2,1,1,0.754,0.217,Low,Normal monitoring; periodic audit,dev_100035,thermostat,116.4819977,157.1002532,197.7185087,21:48.5
dev_100036,sensor,0.412,22.841368,74.616463,02:54.5,0.893,0.929,0.287,78,100,-47,FALSE,1.0.9,2,1,0.706,0.191,Low,Normal monitoring; periodic audit,dev_100036,sensor,106.82774,143.9299715,181.032203,02:54.5
dev_100037,smartphone,0.524,19.139922,76.83529,22:52.5,0.716,0.557,0.367,213,100,-85.7,TRUE,1.0.5,0,0,0.759,0.262,Low,Normal monitoring; periodic audit,dev_100037,smartphone,108.477694,146.633339,184.788984,22:52.5
dev_100038,smart_speaker,0.485,16.172127,83.653926,21:55.5,0.645,0.718,0.318,90,79,-64.6,TRUE,1.1.0,0,1,0.88,0.246,Low,Normal monitoring; periodic audit,dev_100038,smart_speaker,116.6059437,158.1904067,199.7748697,21:55.5
dev_100039,camera,0.759,20.552457,74.773362,34:16.5,0.789,0.92,0.292,177,77,-61.4,TRUE,1.0.7,2,2,0.73,0.236,Low,Normal monitoring; periodic audit,dev_100039,camera,106.042635,143.049816,180.056997,34:16.5
dev_100040,sensor,0.626,18.944889,81.397983,47:11.5,0.715,0.934,0.564,87,78,-69.5,TRUE,1.1.2,2,2,0.879,0.339,Low,Normal monitoring; periodic audit,dev_100040,sensor,114.4282737,154.8142652,195.2002567,47:11.5
dev_100041,sensor,0.415,16.267206,79.784605,04:30.5,0.668,0.804,0.414,87,34,-71.8,FALSE,1.1.4,1,0,0.885,0.264,Low,Normal monitoring; periodic audit,dev_100041,sensor,111.5252087,151.2100112,190.8948137,04:30.5
dev_100042,appliance,0.836,18.326295,83.471536,48:04.5,0.801,0.645,0.541,160,64,-67.3,TRUE,1.1.8,3,0,0.722,0.347,Low,Normal monitoring; periodic audit,dev_100042,appliance,116.846813,158.164581,199.482349,48:04.5
dev_100043,wearable,0.825,20.408924,75.135982,10:23.5,0.927,0.901,0.379,83,4,-85.8,TRUE,3.0.4,2,1,0.841,0.22,Low,Normal monitoring; periodic audit,dev_100043,wearable,106.434284,143.589775,180.745266,10:23.5
dev_100044,vehicle,0.599,21.775257,80.98755,59:11.5,0.57,0.591,0.302,142,45,-51.9,FALSE,2.0.8,2,1,0.793,0.314,Low,Normal monitoring; periodic audit,dev_100044,vehicle,114.8424857,155.0367607,195.2310357,59:11.5
dev_100045,wearable,0.621,23.766678,78.486083,24:55.5,0.851,0.861,0.064,123,68,-63.9,TRUE,1.1.1,0,0,0.627,0.079,Low,Normal monitoring; periodic audit,dev_100045,wearable,112.1563367,151.0888782,190.0214197,24:55.5
dev_100046,sensor,0.796,22.865391,81.389965,23:40.5,0.926,0.965,0.086,69,74,-65.1,TRUE,1.1.9,0,1,0.781,0.07,Low,Normal monitoring; periodic audit,dev_100046,sensor,115.6110837,155.9080662,196.2050487,23:40.5
dev_100047,camera,0.595,18.066011,82.670399,39:33.5,0.679,0.716,0.469,47,71,-72.6,TRUE,3.0.0,2,0,0.898,0.311,Low,Normal monitoring; periodic audit,dev_100047,camera,115.8525357,156.8902352,197.9279347,39:33.5
dev_100048,smartphone,0.542,24.035404,82.019602,29:40.5,0.888,0.542,0.208,72,65,-68.6,FALSE,1.2.1,1,1,0.804,0.203,Low,Normal monitoring; periodic audit,dev_100048,smartphone,117.0099373,157.7487383,198.4875393,29:40.5
dev_100049,smart_speaker,0.799,17.612235,80.697224,22:34.5,0.737,0.739,0.163,84,66,-68,TRUE,3.0.7,0,1,0.804,0.17,Low,Normal monitoring; periodic audit,dev_100049,smart_speaker,112.934377,152.883489,192.832601,22:34.5
dev_100050,thermostat,0.461,22.172153,83.957037,45:07.5,0.616,0.561,0.257,96,99,-71.5,TRUE,3.0.9,0,0,0.765,0.237,Low,Normal monitoring; periodic audit,dev_100050,thermostat,119.0261003,160.7741188,202.5221373,45:07.5
dev_100051,wearable,0.37,22.548372,77.848481,05:55.5,0.798,0.429,0.542,8,23,-59.8,TRUE,2.0.6,4,0,1,0.391,Medium,Schedule patch; Enable additional logging; User notification,dev_100051,wearable,111.067432,149.8066725,188.545913,05:55.5
dev_100052,camera,0.555,24.864045,74.565574,50:00.5,0.774,0.395,0.14,41,59,-64.5,TRUE,3.0.6,2,1,0.634,0.241,Low,Normal monitoring; periodic audit,dev_100052,camera,107.3387803,144.3440673,181.3493543,50:00.5
dev_100053,appliance,0.596,23.653625,79.465165,17:47.5,0.765,0.84,0.244,184,50,-51.8,TRUE,2.0.0,1,1,0.651,0.201,Low,Normal monitoring; periodic audit,dev_100053,appliance,113.4407617,152.8753442,192.3099267,17:47.5
dev_100054,camera,0.714,17.761098,74.920046,03:33.5,0.634,0.862,0.793,198,92,-67,TRUE,1.0.6,0,0,0.686,0.381,Medium,Schedule patch; Enable additional logging; User notification,dev_100054,camera,105.3377607,142.4407837,179.5438067,03:33.5
dev_100055,camera,0.495,17.860264,77.512863,01:28.5,0.585,0.882,0.212,127,47,-79.9,TRUE,1.1.3,0,1,0.826,0.198,Low,Normal monitoring; periodic audit,dev_100055,camera,108.9739053,147.4828368,185.9917683,01:28.5
dev_100056,router,0.837,23.5482,83.234678,58:54.5,0.587,0.86,0.282,57,31,-88.4,TRUE,1.1.6,1,2,0.811,0.257,Low,Normal monitoring; periodic audit,dev_100056,router,118.2709707,159.4698097,200.6686487,58:54.5
dev_100057,router,0.615,19.399933,82.742643,02:24.5,0.825,0.706,0.116,317,57,-76.5,TRUE,1.1.1,1,0,0.814,0.154,Low,Normal monitoring; periodic audit,dev_100057,router,116.3801683,157.4439898,198.5078113,02:24.5
dev_100058,sensor,0.691,19.918679,77.081061,27:41.5,0.699,0.769,0.402,131,56,-76.1,TRUE,1.0.0,0,3,0.714,0.292,Low,Normal monitoring; periodic audit,dev_100058,sensor,108.953641,147.1486715,185.343702,27:41.5
dev_100059,sensor,0.771,20.864115,78.223734,09:03.5,0.826,0.569,0.317,189,45,-68.9,TRUE,1.0.1,0,0,0.616,0.22,Low,Normal monitoring; periodic audit,dev_100059,sensor,110.739017,149.465384,188.191751,09:03.5
dev_100060,wearable,0.597,16.691062,79.442495,11:28.5,0.787,0.597,0.356,211,36,-86,FALSE,1.1.6,0,2,0.701,0.272,Low,Normal monitoring; periodic audit,dev_100060,wearable,111.089014,150.5117615,189.934509,11:28.5
dev_100061,wearable,0.734,21.960397,80.102236,01:44.5,0.696,0.67,0.404,174,93,-74.5,TRUE,2.0.0,2,0,0.698,0.298,Low,Normal monitoring; periodic audit,dev_100061,wearable,113.6337803,153.3178983,193.0020163,01:44.5
dev_100062,smartphone,0.779,21.840336,77.782296,08:03.5,0.443,0.834,0.29,51,73,-64.4,TRUE,2.0.4,1,1,0.725,0.276,Low,Normal monitoring; periodic audit,dev_100062,smartphone,110.4705067,148.9721547,187.4738027,08:03.5
dev_100063,router,0.56,24.462949,80.421008,53:32.5,0.737,0.64,0.292,112,62,-61.9,TRUE,1.2.6,2,1,0.819,0.269,Low,Normal monitoring; periodic audit,dev_100063,router,115.0089937,154.9394977,194.8700017,53:32.5
dev_100064,sensor,0.258,21.24392,80.851753,49:54.5,0.831,0.61,0.062,253,74,-82,TRUE,3.0.7,2,1,0.803,0.181,Low,Normal monitoring; periodic audit,dev_100064,sensor,114.711644,155.0085205,195.305397,49:54.5
dev_100065,smart_speaker,0.459,25.174435,77.642308,25:48.5,0.691,0.373,0.263,213,50,-68.2,TRUE,1.1.0,1,1,0.65,0.294,Low,Normal monitoring; periodic audit,dev_100065,smart_speaker,111.6085557,150.2002097,188.7918637,25:48.5
dev_100066,sensor,0.971,22.358379,82.01279,18:37.5,0.905,0.572,0.543,52,61,-65.2,TRUE,1.0.5,3,2,0.586,0.365,Medium,Schedule patch; Enable additional logging; User notification,dev_100066,sensor,116.1558463,156.6767413,197.1976363,18:37.5
dev_100067,router,0.807,19.43203,79.681623,14:00.5,0.904,0.632,0.274,161,51,-81.7,TRUE,2.1.8,0,1,0.405,0.195,Low,Normal monitoring; periodic audit,dev_100067,router,112.1815073,151.6188188,191.0561303,14:00.5
dev_100068,sensor,0.899,23.248829,75.551982,24:05.5,0.567,0.81,0.271,95,100,-75.3,TRUE,1.0.2,1,1,0.748,0.25,Low,Normal monitoring; periodic audit,dev_100068,sensor,107.8862523,145.2127433,182.5392343,24:05.5
dev_100069,camera,0.733,15.811934,80.600797,41:00.5,0.92,0.485,0.08,55,57,-74.3,TRUE,3.0.3,2,0,0.685,0.162,Low,Normal monitoring; periodic audit,dev_100069,camera,112.2497073,152.1836058,192.1175043,41:00.5
dev_100070,wearable,0.677,16.270384,81.041251,23:13.5,0.909,0.594,0.187,229,48,-78,TRUE,2.1.9,4,1,0.789,0.248,Low,Normal monitoring; periodic audit,dev_100070,wearable,113.0271293,153.2092548,193.3913803,23:13.5
dev_100071,appliance,0.555,24.389519,82.668684,58:21.5,0.768,0.8,0.196,74,19,-68,FALSE,3.0.9,2,0,0.758,0.186,Low,Normal monitoring; periodic audit,dev_100071,appliance,117.9847517,159.0415937,200.0984357,58:21.5
dev_100072,vehicle,0.753,17.173248,80.921891,11:15.5,0.851,0.714,0.365,139,78,-69.9,TRUE,1.2.3,3,1,0.892,0.28,Low,Normal monitoring; periodic audit,dev_100072,vehicle,113.1182707,153.2027162,193.2871617,11:15.5
dev_100073,vehicle,1,22.787236,82.865481,12:43.5,0.55,0.794,0.128,199,78,-78.4,FALSE,1.1.4,0,0,0.703,0.176,Low,Normal monitoring; periodic audit,dev_100073,vehicle,117.4163867,158.3491272,199.2818677,12:43.5
dev_100074,smart_speaker,0.434,20.09721,81.451163,51:56.5,0.353,0.669,0.566,161,52,-62.2,TRUE,2.0.5,2,0,0.812,0.423,Medium,Schedule patch; Enable additional logging; User notification,dev_100074,smart_speaker,115.0112873,155.5198688,196.0284503,51:56.5
dev_100075,camera,0.632,24.305745,81.623548,43:17.5,0.456,0.53,0.19,44,59,-65.8,FALSE,1.0.7,0,3,0.857,0.298,Low,Normal monitoring; periodic audit,dev_100075,camera,116.511979,157.007753,197.503527,43:17.5
dev_100076,camera,0.505,18.408912,82.690438,05:50.5,0.507,0.736,0.239,256,62,-71.7,FALSE,1.0.8,0,3,0.639,0.285,Low,Normal monitoring; periodic audit,dev_100076,camera,116.0535547,157.1462737,198.2389927,05:50.5
dev_100077,smart_speaker,0.643,16.532273,83.059168,51:49.5,0.435,0.853,0.647,182,40,-69.7,TRUE,1.1.5,1,3,0.675,0.439,Medium,Schedule patch; Enable additional logging; User notification,dev_100077,smart_speaker,115.8276483,157.0357323,198.2438163,51:49.5
dev_100078,wearable,0.635,18.137616,77.581431,14:04.5,0.961,0.701,0.517,105,45,-71.9,TRUE,1.2.4,0,0,0.879,0.239,Low,Normal monitoring; periodic audit,dev_100078,wearable,109.0644467,147.5376622,186.0108777,14:04.5
dev_100079,sensor,0.604,20.529166,80.985488,52:03.5,0.801,0.792,0.475,70,47,-66.6,TRUE,3.0.4,1,0,0.933,0.259,Low,Normal monitoring; periodic audit,dev_100079,sensor,114.4210393,154.6117833,194.8025273,52:03.5
dev_100080,sensor,0.512,16.303777,74.7647,28:29.5,0.686,0.673,0.32,128,64,-72.1,TRUE,1.0.8,1,0,0.769,0.249,Low,Normal monitoring; periodic audit,dev_100080,sensor,104.7795257,141.9058757,179.0322257,28:29.5
dev_100081,camera,0.415,19.025374,81.254635,41:21.5,0.656,0.777,0.205,64,19,-58.3,TRUE,1.1.4,2,0,0.617,0.215,Low,Normal monitoring; periodic audit,dev_100081,camera,114.404638,154.8244555,195.244273,41:21.5
dev_100082,camera,0.561,24.49467,77.421675,15:01.5,0.765,0.789,0.134,83,63,-81.5,TRUE,3.0.8,2,0,0.739,0.167,Low,Normal monitoring; periodic audit,dev_100082,camera,111.01979,149.4501275,187.880465,15:01.5
dev_100083,smart_speaker,0.533,17.193949,74.196421,30:47.5,0.584,0.638,0.155,25,100,-67.5,FALSE,2.1.3,1,0,0.599,0.212,Low,Normal monitoring; periodic audit,dev_100083,smart_speaker,104.3045443,141.1362548,177.9679653,30:47.5
dev_100084,wearable,0.444,25.257874,79.539988,04:44.5,0.576,0.471,0.599,1,71,-67.3,FALSE,3.0.4,0,1,0.962,0.391,Medium,Schedule patch; Enable additional logging; User notification,dev_100084,wearable,114.1766087,153.7246027,193.2725967,04:44.5
dev_100085,smart_speaker,0.48,24.364606,83.403321,10:21.5,0.805,0.916,0.012,204,70,-70.5,FALSE,1.0.1,3,0,0.784,0.122,Low,Normal monitoring; periodic audit,dev_100085,smart_speaker,119.0059633,160.4676238,201.9292843,10:21.5
dev_100086,smart_speaker,0.565,24.063389,82.893802,00:32.5,0.748,0.749,0.101,188,88,-64.9,TRUE,1.0.0,0,3,0.846,0.183,Low,Normal monitoring; periodic audit,dev_100086,smart_speaker,118.1695323,159.3339333,200.4983343,00:32.5
dev_100087,thermostat,0.736,22.179105,81.624059,06:10.5,0.621,0.806,0.294,168,53,-72.2,TRUE,3.0.4,2,0,0.557,0.254,Low,Normal monitoring; periodic audit,dev_100087,thermostat,115.734447,156.1784765,196.622506,06:10.5
dev_100088,router,0.463,17.917543,76.772945,32:49.5,0.613,0.489,0.039,200,100,-82.9,TRUE,2.1.6,0,1,0.851,0.194,Low,Normal monitoring; periodic audit,dev_100088,router,108.0277743,146.1827468,184.3377193,32:49.5
dev_100089,camera,0.701,23.633285,79.48791,33:42.5,0.836,0.676,0.081,132,85,-78.7,TRUE,1.0.2,0,0,0.837,0.116,Low,Normal monitoring; periodic audit,dev_100089,camera,113.3943083,152.7877633,192.1812183,33:42.5
dev_100090,vehicle,0.512,18.727179,81.852225,11:14.5,0.819,0.804,0.428,218,67,-68,TRUE,2.1.8,0,2,0.799,0.26,Low,Normal monitoring; periodic audit,dev_100090,vehicle,115.0373597,155.7074722,196.3775847,11:14.5
dev_100091,thermostat,0.578,20.597711,78.290191,34:59.5,0.87,0.398,0.533,34,26,-61.8,TRUE,1.0.4,2,1,0.642,0.359,Medium,Schedule patch; Enable additional logging; User notification,dev_100091,thermostat,110.8674917,149.7235872,188.5796827,34:59.5
dev_100092,smartphone,0.715,24.49585,76.836996,50:43.5,0.5,0.711,0.586,121,78,-70.4,TRUE,1.2.3,1,2,0.721,0.407,Medium,Schedule patch; Enable additional logging; User notification,dev_100092,smartphone,110.1379447,148.1989427,186.2599407,50:43.5
dev_100093,camera,0.635,18.249528,74.138424,13:17.5,0.517,0.697,0.187,53,62,-86.4,TRUE,1.2.8,1,4,0.599,0.296,Low,Normal monitoring; periodic audit,dev_100093,camera,104.5110747,141.2627867,178.0144987,13:17.5
dev_100094,appliance,0.489,17.552031,75.370929,10:38.5,0.568,0.268,0.403,169,37,-71.6,FALSE,2.1.2,1,1,0.727,0.381,Medium,Schedule patch; Enable additional logging; User notification,dev_100094,appliance,106.019249,143.4602135,180.901178,10:38.5
dev_100095,wearable,0.536,23.663355,78.559549,34:29.5,0.695,0.677,0.206,132,69,-69.6,TRUE,1.1.2,5,1,0.967,0.299,Low,Normal monitoring; periodic audit,dev_100095,wearable,112.276517,151.2882915,190.300066,34:29.5
dev_100096,smartphone,0.566,18.067103,80.369052,59:30.5,0.905,0.779,0.247,50,64,-74.9,TRUE,1.1.5,0,0,0.839,0.141,Low,Normal monitoring; periodic audit,dev_100096,smartphone,112.8037703,152.7052963,192.6068223,59:30.5
dev_100097,appliance,0.567,25.52625,74.412013,57:54.5,0.874,0.603,0.491,72,26,-69.7,TRUE,3.0.3,0,0,0.701,0.26,Low,Normal monitoring; periodic audit,dev_100097,appliance,107.3467673,144.2692738,181.1917803,57:54.5
dev_100098,camera,0.724,25.098292,79.779123,24:05.5,0.43,0.803,0.544,13,51,-80.3,FALSE,2.0.0,0,0,0.437,0.335,Low,Normal monitoring; periodic audit,dev_100098,camera,114.2555947,153.7831562,193.3107177,24:05.5
dev_100099,wearable,0.636,23.702486,82.321159,13:01.5,0.721,0.531,0.404,174,36,-63.3,TRUE,1.1.7,0,0,0.806,0.276,Low,Normal monitoring; periodic audit,dev_100099,wearable,117.238374,158.0809535,198.923533,13:01.5
dev_100100,wearable,0.755,17.40984,77.67231,26:10.5,0.581,0.194,0.274,172,27,-59.5,TRUE,1.1.0,0,1,0.63,0.326,Low,Normal monitoring; periodic audit,dev_100100,wearable,108.8630267,147.3216817,185.7803367,26:10.5
dev_100101,appliance,0.709,23.868763,80.934994,21:16.5,0.684,0.611,0.187,170,67,-93.9,TRUE,1.2.4,2,0,0.741,0.233,Low,Normal monitoring; periodic audit,dev_100101,appliance,115.396913,155.50991,195.622907,21:16.5
dev_100102,smart_speaker,0.327,22.64241,82.134181,28:09.5,0.701,0.516,0.182,150,85,-76.5,TRUE,1.2.8,3,1,0.843,0.277,Low,Normal monitoring; periodic audit,dev_100102,smart_speaker,116.8417113,157.7453018,198.6488923,28:09.5
dev_100103,sensor,0.28,18.661466,77.492485,22:12.5,0.851,0.875,0.036,230,93,-81.9,TRUE,1.2.0,1,0,0.813,0.091,Low,Normal monitoring; periodic audit,dev_100103,sensor,109.3571353,147.9633778,186.5696203,22:12.5
dev_100104,smart_speaker,0.509,25.397387,74.637925,30:14.5,0.299,0.812,0.139,136,66,-77.2,TRUE,1.1.9,1,0,0.771,0.243,Low,Normal monitoring; periodic audit,dev_100104,smart_speaker,107.6436957,144.7081582,181.7726207,30:14.5
dev_100105,smart_speaker,0.901,22.078748,76.63692,55:08.5,0.736,0.759,0.128,253,83,-78.6,TRUE,1.0.1,1,2,0.953,0.198,Low,Normal monitoring; periodic audit,dev_100105,smart_speaker,108.941476,146.809436,184.677396,55:08.5
dev_100106,vehicle,0.531,22.318305,83.73297,24:08.5,0.878,0.911,0.194,16,82,-75,TRUE,3.0.5,2,0,0.782,0.144,Low,Normal monitoring; periodic audit,dev_100106,vehicle,118.729395,160.33038,201.931365,24:08.5
dev_100107,sensor,0.474,18.069298,74.588163,28:35.5,0.39,0.725,0.518,189,87,-77.6,TRUE,1.0.6,2,0,0.755,0.392,Medium,Schedule patch; Enable additional logging; User notification,dev_100107,sensor,105.1579833,142.2150648,179.2721463,28:35.5
dev_100108,wearable,0.746,22.25833,81.83677,10:05.5,0.579,0.453,0.252,122,17,-70.1,FALSE,1.2.0,0,1,0.667,0.277,Low,Normal monitoring; periodic audit,dev_100108,wearable,116.0378033,156.5831883,197.1285733,10:05.5
